N,Approximation,Error
100,1.26,33.4015
600,1.17,23.8728
1100,1.05545,11.7454
1600,1.00125,6.00654
2100,0.981429,3.90796
2600,0.951923,0.784093
3100,0.885484,6.2501
3600,0.9725,2.96266
4100,0.98122,3.88583
4600,0.978261,3.57259
5100,0.926471,1.91067
5600,0.986786,4.47515
6100,0.925082,2.05769
6600,0.923182,2.25886
7100,0.949437,0.520841
7600,0.929605,1.57879
8100,0.947778,0.345213
8600,0.943953,0.059681
9100,0.948462,0.417605
9600,0.912187,3.42288
10100,0.950792,0.664349
10600,0.926321,1.92653
11100,0.901622,4.54153
11600,0.934914,1.01675
12100,0.960992,1.74423
12600,0.919286,2.67136
13100,0.937099,0.785369
13600,0.957574,1.38233
14100,0.93383,1.13152
14600,0.948082,0.377442
15100,0.948874,0.461292
15600,0.958846,1.51707
16100,0.954783,1.08684
16600,0.991627,4.98766
17100,0.924211,2.14995
17600,0.945,0.0511176
18100,0.955691,1.18298
18600,0.949355,0.512183
19100,0.934869,1.02148
19600,0.942704,0.191961
20100,0.934925,1.01553
20600,0.90568,4.1119
21100,0.93327,1.19077
21600,0.930833,1.44877
22100,0.983891,4.16871
22600,0.97208,2.91815
23100,0.937403,0.753251
23600,0.935085,0.998652
24100,0.925394,2.02463
24600,0.917561,2.85397
25100,0.955578,1.17102
25600,0.963633,2.02385
26100,0.956552,1.27415
26600,0.941955,0.271281
27100,0.926236,1.93549
27600,0.934891,1.01913
28100,0.927544,1.79697
28600,0.949406,0.517556
29100,0.954433,1.04983
29600,0.967804,2.46548
30100,0.92392,2.18068
30600,0.971471,2.85367
31100,0.975531,3.28351
31600,0.927911,1.75813
32100,0.940935,0.379306
32600,0.949969,0.577241
33100,0.954924,1.10186
33600,0.940179,0.459347
34100,0.952522,0.847503
34600,0.940838,0.389515
35100,0.953846,0.987697
35600,0.931601,1.36748
36100,0.913961,3.23509
36600,0.956311,1.24871
37100,0.951671,0.757421
37600,0.954814,1.09015
38100,0.945827,0.138651
38600,0.95899,1.53226
39100,0.947417,0.307003
39600,0.927045,1.84981
40100,0.942868,0.174624
40600,0.969606,2.65625
41100,0.959343,1.56968
41600,0.940673,0.406992
42100,0.961354,1.78258
42600,0.933169,1.20148
43100,0.946148,0.172713
43600,0.917752,2.83371
44100,0.945714,0.126742
44600,0.938341,0.653919
45100,0.963659,2.02658
45600,0.947961,0.364561
46100,0.940803,0.393278
46600,0.967597,2.44351
47100,0.936879,0.808689
47600,0.937248,0.76963
48100,0.944532,0.0015922
48600,0.930556,1.47818
49100,0.93336,1.18121
49600,0.960605,1.70327
50100,0.952814,0.878458
50600,0.949269,0.503071
51100,0.943327,0.12603
51600,0.942907,0.17048
52100,0.927985,1.75037
52600,0.954753,1.08369
53100,0.938983,0.585922
53600,0.956754,1.29553
54100,0.942754,0.186659
54600,0.945165,0.0685693
55100,0.960926,1.73723
55600,0.945,0.0511176
56100,0.94861,0.433284
56600,0.942615,0.201409
57100,0.938301,0.65811
57600,0.949219,0.497774
58100,0.913941,3.23718
58600,0.952372,0.831624
59100,0.950863,0.671852
59600,0.960403,1.68186
60100,0.944027,0.051938
60600,0.951238,0.711521
61100,0.957005,1.32213
61600,0.928198,1.72778
62100,0.962029,1.85405
62600,0.93853,0.633851
63100,0.94393,0.0621393
63600,0.957028,1.3246
64100,0.943807,0.0752378
64600,0.959907,1.6294
65100,0.935668,0.936879
65600,0.934573,1.05281
66100,0.935809,0.921932
66600,0.957703,1.39601
67100,0.945201,0.0724186
67600,0.934749,1.03425
68100,0.939119,0.571535
68600,0.947624,0.328922
69100,0.942981,0.162623
69600,0.937241,0.77032
70100,0.962782,1.93375
70600,0.92779,1.77094
71100,0.934051,1.10814
71600,0.934064,1.1067
72100,0.927587,1.7925
72600,0.941157,0.355754
73100,0.941245,0.346454
73600,0.927514,1.80024
74100,0.953806,0.983411
74600,0.928592,1.68601
75100,0.927324,1.82036
75600,0.945357,0.0889298
76100,0.939501,0.531121
76600,0.952402,0.834808
77100,0.949027,0.477498
77600,0.942101,0.255863
78100,0.93895,0.589415
78600,0.929542,1.58549
79100,0.96292,1.94842
79600,0.943982,0.0566188
80100,0.942921,0.168958
80600,0.950025,0.583116
81100,0.9536,0.961688
81600,0.945772,0.132859
82100,0.943739,0.0823536
82600,0.946199,0.178013
83100,0.955126,1.12324
83600,0.957057,1.32769
84100,0.956718,1.29177
84600,0.933191,1.1991
85100,0.939448,0.536727
85600,0.94479,0.0288543
86100,0.943171,0.142555
86600,0.937621,0.730102
87100,0.939885,0.490409
87600,0.962466,1.90029
88100,0.946073,0.164683
88600,0.930576,1.47605
89100,0.942222,0.242977
89600,0.945402,0.0936563
90100,0.942153,0.250289
90600,0.957815,1.40785
91100,0.941592,0.309738
91600,0.960229,1.6635
92100,0.933127,1.20592
92600,0.956955,1.31681
93100,0.975693,3.30069
93600,0.931346,1.39447
94100,0.952508,0.846018
94600,0.937579,0.734545
95100,0.947886,0.356717
95600,0.933421,1.17485
96100,0.955911,1.20626
96600,0.94705,0.268127
97100,0.940412,0.434639
97600,0.946383,0.197562
98100,0.93633,0.866783
98600,0.94783,0.350701
99100,0.925156,2.04981
99600,0.941928,0.274159
